Ticker,Date,Future_5D_Return,Large_Move
BA,2024-05-23,0.03135702738492219,False
AAPL,2019-08-05,0.03692975858533809,False
AAPL,2020-03-02,-0.10923323984318489,True
CVX,2024-04-30,0.00868105574127176,False
AAPL,2020-06-11,0.0471271729011169,False
GS,2025-04-09,-0.03447676880562289,False
XOM,2024-04-26,-0.016615794334391865,False
TSLA,2026-07-23,-0.033907836513834666,False
CVX,2026-04-01,-0.03571249136809029,False
TSLA,2025-03-10,0.07139320749989242,True
XOM,2022-05-09,0.0768410837570408,True
MSFT,2020-06-11,0.05395395297815897,True
TSLA,2021-11-09,0.030512957418182385,False
AAPL,2019-05-13,-0.014161128933480316,False
MA,2025-12-11,0.005041139712948395,False
MA,2026-01-29,0.015007511950422048,False
KO,2025-02-11,0.03653848042095298,False
CAT,2020-11-04,0.09167049782894243,True
CAT,2019-07-24,-0.0018194639261692735,False
CVX,2025-01-31,0.02299076760943386,False
AAPL,2024-05-03,-0.0017995518718934012,False
CVX,2024-08-01,-0.05326949209886245,True
TSLA,2025-04-09,-0.11260105724007641,True
V,2025-04-09,-0.003308985734594816,False
MA,2021-01-14,0.006301035710225111,False
WMT,2024-02-20,0.016547274622612074,False
JNJ,2020-03-04,-0.08140502525495563,True
CAT,2021-01-06,0.010471467929978218,False
CVX,2019-11-04,-0.006251559909009496,False
PFE,2019-07-29,-0.10832332444868986,True
WMT,2020-03-12,0.14800570345801844,True
GS,2024-08-02,0.04168790265707312,False
TSLA,2024-04-29,-0.047874302493280396,False
JPM,2023-10-27,0.05387277932838397,True
KO,2020-09-02,-0.023246701672855363,False
NVDA,2019-06-04,0.05419577679673071,True
PFE,2025-04-04,-0.04614712658376563,False
XOM,2020-03-09,-0.17606303928390865,True
MSFT,2024-01-31,0.04142562950086903,False
CVX,2020-03-18,0.2583105831622379,True
KO,2023-12-20,0.019788220405670298,False
MA,2020-09-03,-0.03981503777109496,False
V,2023-09-14,-0.020248444677633204,False
JPM,2025-12-09,0.05004817656181837,True
CAT,2023-10-31,0.03923908426206291,False
KO,2021-01-04,-0.04852156254805884,False
JPM,2019-04-12,0.02149086781156284,False
MA,2025-04-09,-0.0038802553759382796,False
AAPL,2019-05-01,-0.036196134435350635,False
GS,2026-07-14,-0.047754334566885936,False
MA,2020-06-11,0.046695299926234,False
PFE,2023-12-13,0.03638407047660386,False
MSFT,2025-01-30,0.0020000894223377585,False
KO,2019-10-02,0.014129615187036482,False
MSFT,2020-02-27,0.05114434170737159,True
KO,2022-02-25,-0.004455032396097236,False
TSLA,2020-01-13,0.04256375487280417,False
WMT,2021-06-30,-0.010140461574567938,False
CAT,2024-07-16,-0.04550993886412613,False
PFE,2024-04-25,0.09659542802647159,True
XOM,2025-04-03,-0.11118028965641258,True
PFE,2022-10-21,0.05517240267281709,True
